"Product Name","Product Type","Current QTY","Registration Time","NO. of Variants","In QTY","Total registered QTY"
"[MISSHA] Mascure Sheet Mask (8 Types)","","15","2021-12-30 16:02:31","8","0","0"
"[Nongshim] Hot & Spicy Chapagetti Chajang Noodle | Halal","Noodles","3","2021-09-19 15:09:22","1","0","0"
"[SAMYANG] Hot Chicken Flavor Ramen (Cheese) | Halal [KOREAN SPICY NOODLE]","Noodles","18","2021-11-04 17:39:46","2","0","0"
"[THE FACE SHOP] The Solution Double Up Face Mask Sheet 20g","","7","2021-12-30 16:18:20","7","0","0"
"[ألبوم فوتوكارد] Photocards Album ""Deco Pocket""","Accessories","1","2021-12-01 17:00:06","2","0","0"
"[ألبوم فوتوكارد] Photocards Album ""Deco Pocket"" BIG VERSION","Accessories","0","2021-12-01 17:29:12","1","0","0"
"AB6IX - SALUTE- Official Poster","Posters, Prints, & Visual Artwork","4","2021-12-25 11:16:30","1","0","0"
"aespa - Savage (Hallucination Quest Ver.)","Album","0","2021-12-19 16:09:25","1","0","0"
"ATEEZ - Album Vol.1 [TREASURE EP.FIN : All To Action","Album","0","2021-10-03 16:18:49","2","0","0"
"ATEEZ - TREASURE EP.3 : One To All (Random Ver.)","Arts & Entertainment","0","2021-09-23 14:54:27","1","0","0"
"ATEEZ - ZERO : FEVER EPILOGUE","","5","2021-12-30 13:37:17","3","0","0"
"ATEEZ - ZERO : FEVER Part.1 (Official Poster)","Posters, Prints, & Visual Artwork","0","2021-10-15 22:18:17","1","0","0"
"ATEEZ - ZERO : FEVER Part.2","Album","0","2021-09-23 15:19:45","3","0","0"
"ATEEZ - ZERO : FEVER Part.3 (A Ver.)","Album","1","2021-12-19 16:17:29","1","0","0"
"ATEEZ - ZERO : FEVER Part.3 (DIARY Ver.)","Album","1","2021-12-19 16:20:38","1","0","0"
"ATEEZ - ZERO : FEVER Part.3 (Ver.A)- (Official Poster)","Poster","1","2021-12-19 16:25:10","1","0","0"
"ATEEZ - ZERO : FEVER Part.3 (Z Ver.)","Poster","4","2021-12-01 14:13:10","1","0","0"
"ATEEZ - ZERO : FEVER Part.3 (Z Ver.)- (Official Poster)","Poster","1","2021-12-01 14:28:42","1","0","0"
"ATEEZ- Season's Greeting 2021","Album","1","2021-12-25 22:15:14","1","0","0"
"BAEKHYUN - [BAEKHYUN:] SPECIAL PHOTO BOOK SET","Album","0","2021-10-22 20:18:56","1","0","0"
"BAEKHYUN - Delight","Album","0","2021-09-19 15:41:52","3","0","0"
"BaekHyun (Don't Fight The Feeling)- Official Poster","Poster","0","2021-11-13 22:27:41","1","0","0"
"BLACKPINK - 2021 [THE SHOW] LIVE CD","Album","1","2021-10-17 17:15:03","1","0","0"
"BLACKPINK - How You Like That (with Poster)","Album","2","2021-09-27 12:46:11","1","0","0"
"BLACKPINK - KILL THIS LOVE","Album","1","2021-11-11 15:26:21","2","0","0"
"BLACKPINK - THE ALBUM","Album","8","2021-11-11 15:39:15","5","0","0"
"BLACKPINK OFFICIAL LIGHT STICK Ver.2 LIMITED EDITION","","2","2021-12-28 11:58:12","1","0","0"
"BLACKPINK- How you like that (Official Poster)","Posters, Prints, & Visual Artwork","7","2021-10-03 17:31:59","1","0","0"
"BT21 - OFFICIAL SMART GRIPTOK","Accessories","33","2021-12-19 15:33:59","7","0","0"
"BT21 X BRTC The First Ampoule Essence (Chimmy)","Cosmetics","1","2021-11-02 16:32:27","1","0","0"
"BT21 X BRTC The First Ampoule Essence (Chooky)","Cosmetics","1","2021-11-02 16:56:18","1","0","0"
"BT21 X BRTC The First Ampoule Essence (Koya)","Cosmetics","1","2021-11-02 16:54:37","1","0","0"
"BT21 X BRTC The First Ampoule Essence (Mang)","Cosmetics","1","2021-11-02 16:55:21","1","0","0"
"BT21 X BRTC The First Ampoule Essence (RJ)","Cosmetics","1","2021-11-02 16:55:54","1","0","0"
"BTS - BE (Essential Edition)","Album","3","2021-10-03 12:06:59","1","0","0"
"BTS - BE (LOMOCARD)","Photocards","8","2021-11-16 17:12:19","8","0","0"
"BTS - BE(Deluxe Edition)","Album","1","2021-10-03 12:10:47","1","0","0"
"BTS - Butter","Album","5","2021-10-03 10:25:35","3","0","0"
"BTS - Butter (Cream Version) (Poster)","Posters, Prints, & Visual Artwork","8","2021-10-03 15:13:53","1","0","0"
"BTS - BUTTER (LOMOCARD) (Random Members)","Photocards","3","2021-11-16 16:58:23","1","0","0"
"BTS - Butter (Peaches Version) (Poster)","Posters, Prints, & Visual Artwork","9","2021-10-03 15:26:00","1","0","0"
"BTS - Love Yourself 承 Her","Album","0","2021-09-18 18:59:08","4","0","0"
"BTS - LOVE YOURSELF 結 Answer","Album","3","2021-09-18 18:30:26","4","0","0"
"BTS - LOVE YOURSELF 轉 Tear","Album","9","2021-10-03 11:29:37","4","0","0"
"BTS - MAP OF SOUL-ON:E (LOMOCARD)","Photocards","0","2021-11-16 17:31:23","1","0","0"
"BTS - Map of the Soul : PERSONA","Album","8","2021-09-18 17:41:32","4","0","0"
"BTS - Map of The Soul 7","Album","7","2021-09-18 18:44:06","4","0","0"
"BTS - MAP OF THE SOUL ON:E CONCEPT PHOTO BOOK (CLUE Ver.)","Album","7","2021-10-03 10:39:03","1","0","0"
"BTS - MAP OF THE SOUL ON:E CONCEPT PHOTO BOOK (ROUTE Ver.)","Album","7","2021-10-03 10:58:28","1","0","0"
"BTS - MAP OF THE SOUL ON:E CONCEPT PHOTO BOOK (SET Ver.)","Photobook","0","2021-10-03 11:06:52","1","0","0"
"BTS - MEMORIES OF 2020 DVD","Album","0","2021-10-03 12:03:52","1","0","0"
"BTS - Official Light Stick (Ver. 3) Army Bomb","Lightstick","0","2021-09-18 18:51:54","1","0","0"
"BTS - Official Photocards (from Army Bomb Ver.3)","Photocards","8","2021-10-28 11:09:56","8","0","0"
"BTS Lanyard Keychain Holder (Random Member)","Accessories","19","2021-11-16 16:40:41","3","0","0"
"BTS- Dynamite (LOMOCARD) (Random Member)","Photocards","0","2021-11-18 17:03:27","1","0","0"
"BTS-Vol. 1 [DARK & WILD]","Album","0","2021-10-03 11:14:35","1","0","0"
"CHEN- OBSESSION- Official Poster","Posters, Prints, & Visual Artwork","0","2021-10-22 21:03:44","1","0","0"
"Colored Wallets for Photocards (Random)","Accessories","1","2021-11-25 20:23:10","1","0","0"
"CRAVITY- Greeting Season's 2021 (Last Piece)","Album","0","2021-11-06 16:25:42","1","0","0"
"D.O. (EXO) - Empathy (Digipack Ver.)","Album","1","2021-10-22 20:34:17","1","0","0"
"D.O. (EXO) - Empathy (Official Poster)","Posters, Prints, & Visual Artwork","2","2021-10-22 20:54:04","1","0","0"
"D.O. (EXO) - Empathy (Photo Book Ver.)","Album","0","2021-10-22 20:43:22","1","0","0"
"Dr. Pelo Repair Treatment","Cosmetics","33","2021-10-03 11:02:20","1","0","0"
"Dr. Pelo Scalp Shampoo","Cosmetics","34","2021-10-03 10:56:37","1","0","0"
"Dr. Pelo Scalp Shampoo and Tonic set","Cosmetics","8","2021-10-03 11:26:08","1","0","0"
"Dr. Pelo Scalp Tonic","Cosmetics","30","2021-10-03 10:50:24","1","0","0"
"Dr. Pelo Scalp Tonic Sheet","Cosmetics","25","2021-10-03 11:45:32","1","0","0"
"ENHYPEN - BORDER : CARNIVAL","Album","0","2021-10-14 14:58:46","3","0","0"
"ENHYPEN - BORDER : DAY ONE","Album","2","2021-10-22 23:05:08","2","0","0"
"ENHYPEN - DIMENSION : DILEMMA","Album","5","2021-12-19 16:33:57","3","0","0"
"ENHYPEN - DIMENSION : DILEMMA (ESSENTIAL Ver.)","","1","2021-12-30 16:36:44","1","0","0"
"ENHYPEN - OFFICIAL LIGHT STICK","","3","2021-12-28 12:25:34","1","0","0"
"EVERGLOW - -77.82X-78.29","Album","1","2021-12-15 09:49:50","2","0","0"
"EXO - DON’T FIGHT THE FEELING (Photo Book Ver.1)","Album","5","2021-10-03 13:03:57","1","0","0"
"EXO - DON’T FIGHT THE FEELING (Photo Book Ver.2)","Album","2","2021-10-03 13:11:29","1","0","0"
